iter	Passed	Remaining
581	7339	5271
582	7350	5257
583	7361	5244
584	7371	5229
585	7383	5216
586	7394	5202
587	7405	5188
588	7416	5175
589	7428	5162
590	7440	5149
591	7451	5135
592	7463	5122
593	7474	5109
594	7486	5095
595	7498	5082
596	7509	5069
597	7520	5055
598	7530	5041
599	7542	5028
600	7554	5015
601	7567	5002
602	7624	5019
603	7635	5006
604	7646	4992
605	7657	4978
606	7669	4965
607	7681	4952
608	7693	4939
609	7704	4925
610	7714	4911
611	7724	4897
612	7736	4884
613	7747	4870
614	7756	4855
615	7768	4842
616	7780	4829
617	7796	4818
618	7806	4804
619	7817	4791
620	7828	4777
621	7840	4764
622	7851	4751
623	7862	4737
624	7873	4724
625	7884	4710
626	7894	4696
627	7905	4682
628	7917	4669
629	7928	4656
630	7938	4642
631	7949	4628
632	7961	4615
633	7972	4602
634	7983	4589
635	7994	4575
636	8008	4563
637	8021	4551
638	8032	4537
639	8043	4524
640	8055	4511
641	8065	4497
642	8077	4484
643	8088	4471
644	8100	4458
645	8111	4445
646	8121	4431
647	8132	4417
648	8142	4403
649	8153	4390
650	8166	4378
651	8179	4365
652	8190	4352
653	8202	4339
654	8213	4326
655	8226	4313
656	8237	4300
657	8248	4287
658	8258	4273
659	8269	4260
660	8281	4247
661	8291	4233
662	8301	4219
663	8312	4206
664	8324	4193
665	8334	4179
666	8347	4167
667	8358	4154
668	8369	4141
669	8381	4128
670	8401	4119
671	8412	4106
672	8427	4094
673	8438	4081
674	8449	4068
675	8460	4054
676	8471	4041
677	8483	4028
678	8495	4016
679	8506	4003
680	8518	3990
681	8530	3977
682	8541	3964
683	8552	3951
684	8563	3938
685	8575	3925
686	8587	3912
687	8598	3899
688	8610	3886
689	8621	3873
690	8633	3860
691	8644	3847
692	8655	3834
693	8667	3821
694	8680	3809
695	8691	3796
696	8702	3782
697	8712	3769
698	8727	3758
699	8737	3744
700	8750	3732
701	8765	3720
702	8779	3709
703	8792	3696
704	8845	3701
705	8864	3691
706	8880	3680
707	8902	3671
708	8917	3659
709	8929	3647
710	8940	3633
711	8952	3621
712	8967	3609
713	8978	3596
714	8988	3582
715	9000	3569
716	9010	3556
717	9021	3543
718	9032	3530
719	9044	3517
720	9057	3504
721	9067	3491
722	9078	3478
723	9091	3465
724	9102	3452
725	9112	3439
726	9124	3426
727	9135	3413
728	9151	3402
729	9163	3389
730	9174	3376
731	9185	3362
732	9196	3349
733	9209	3337
734	9221	3324
735	9233	3311
736	9245	3299
737	9259	3287
738	9270	3274
739	9281	3261
740	9293	3248
741	9305	3235
742	9316	3222
743	9326	3209
744	9338	3196
745	9351	3184
746	9368	3172
747	9378	3159
748	9390	3146
749	9402	3134
750	9414	3121
751	9425	3108
752	9437	3095
753	9448	3082
754	9462	3070
755	9473	3057
756	9485	3044
757	9497	3032
758	9507	3018
759	9518	3005
760	9528	2992
761	9539	2979
762	9550	2966
763	9565	2954
764	9579	2942
765	9590	2929
766	9601	2916
767	9613	2904
768	9626	2891
769	9637	2878
770	9649	2865
771	9660	2852
772	9671	2840
773	9682	2827
774	9692	2813
775	9703	2800
776	9715	2788
777	9728	2776
778	9739	2763
779	9751	2750
780	9763	2737
781	9775	2725
782	9809	2718
783	9819	2705
784	9831	2692
785	9847	2681
786	9857	2668
787	9869	2655
788	9880	2642
789	9893	2629
790	9905	2617
791	9917	2604
792	9927	2591
793	9940	2579
794	9951	2566
795	9965	2553
796	9978	2541
797	9991	2529
798	10052	2528
799	10066	2516
800	10076	2503
801	10086	2490
802	10097	2477
803	10109	2464
804	10120	2451
805	10131	2438
806	10142	2425
807	10154	2412
808	10165	2400
809	10176	2387
810	10188	2374
811	10200	2361
812	10212	2348
813	10224	2336
814	10242	2325
815	10255	2312
816	10266	2299
817	10279	2287
818	10290	2274
819	10302	2261
820	10314	2248
821	10327	2236
822	10339	2223
823	10351	2211
824	10364	2198
825	10375	2185
826	10386	2172
827	10397	2159
828	10410	2147
829	10421	2134
830	10432	2121
831	10444	2108
832	10456	2096
833	10468	2083
834	10479	2070
835	10491	2058
836	10501	2045
837	10513	2032
838	10526	2019
839	10538	2007
840	10550	1994
841	10563	1982
842	10575	1969
843	10589	1957
844	10600	1944
845	10613	1931
846	10630	1920
847	10643	1907
848	10655	1895
849	10665	1882
850	10677	1869
851	10688	1856
852	10704	1844
853	10716	1832
854	10737	1820
855	10748	1808
856	10759	1795
857	10771	1782
858	10783	1770
859	10795	1757
860	10806	1744
861	10817	1731
862	10829	1719
863	10840	1706
864	10850	1693
865	10861	1680
